Aspect,Average Sentiment
food,-0.558732196162047
line,-0.5978271515151516
bathroom,-0.7159027777777779
parking,-0.6391048543689316
service,-0.6640715231788078
wait,-0.5960032400589103
crowded,-0.5862857142857142
expensive,-0.5465303249097473
staff,-0.6488412186379925
